79.32,29.91,7.54,11-09-2020 17:10:00,11-09-2020 17:10:25
78.52,29.88,7.76,11-09-2020 17:15:00,11-09-2020 17:15:22
71.2,30.37,30.87,11-09-2020 17:20:00,11-09-2020 17:20:22
78.73,30.28,6.87,11-09-2020 17:25:00,11-09-2020 17:25:24
77.11,30.0,7.86,11-09-2020 17:30:00,11-09-2020 17:30:23
78.97,30.04,6.89,11-09-2020 17:35:00,11-09-2020 17:35:25
72.99,31.49,30.69,11-09-2020 17:40:00,11-09-2020 17:40:24
78.14,29.92,6.95,11-09-2020 17:45:00,11-09-2020 17:45:25
79.06,30.01,7.75,11-09-2020 17:50:00,11-09-2020 17:50:22
79.27,29.98,7.47,11-09-2020 17:55:00,11-09-2020 17:55:25
78.8,29.88,6.9,11-09-2020 18:00:00,11-09-2020 18:00:24
77.02,30.5,16.9,11-09-2020 18:05:00,11-09-2020 18:05:24
78.79,29.95,7.85,11-09-2020 18:10:00,11-09-2020 18:10:22
75.56,30.13,16.88,11-09-2020 18:15:00,11-09-2020 18:15:24
76.82,30.4,16.44,11-09-2020 18:20:00,11-09-2020 18:20:25
78.67,29.87,7.62,11-09-2020 18:25:00,11-09-2020 18:25:25
77.62,30.03,7.56,11-09-2020 18:30:00,11-09-2020 18:30:22
77.9,30.15,7.6,11-09-2020 18:35:00,11-09-2020 18:35:24
76.39,29.84,7.54,11-09-2020 18:40:00,11-09-2020 18:40:19
75.97,30.37,16.43,11-09-2020 18:45:00,11-09-2020 18:45:23
78.19,29.99,7.41,11-09-2020 18:50:00,11-09-2020 18:50:24
77.89,30.49,7.44,11-09-2020 18:55:00,11-09-2020 18:55:24
74.4,31.77,30.86,11-09-2020 19:00:00,11-09-2020 19:00:24
54.37,30.06,16.46,11-09-2020 19:05:00,11-09-2020 19:05:29
76.17,30.57,16.5,11-09-2020 19:10:00,11-09-2020 19:10:23
70.62,31.66,30.34,11-09-2020 19:15:00,11-09-2020 19:15:23
